Teff	logg	GALEX_GALEX.FUV	GALEX_GALEX.NUV	SLOAN_SDSS.u	SLOAN_SDSS.g	SLOAN_SDSS.r	SLOAN_SDSS.i	SLOAN_SDSS.z	PAN-STARRS_PS1.g	PAN-STARRS_PS1.r	PAN-STARRS_PS1.i	PAN-STARRS_PS1.z	PAN-STARRS_PS1.y	Generic_Johnson.U	Generic_Johnson.B	Generic_Johnson.V	Generic_Johnson.R	Generic_Johnson.I	2MASS_2MASS.J	2MASS_2MASS.H	2MASS_2MASS.Ks	IUE_IUE.1250-1300	IUE_IUE.1450-1500	IUE_IUE.1675-1725	IUE_IUE.2150-2200	IUE_IUE.2395-2445	IUE_IUE.2900-2950	IUE_IUE.2900-3000	INT_IPHAS.gI	INT_IPHAS.gR	INT_IPHAS.Ha	INT_WFC.RGO_u	INT_WFC.Gunn_g	INT_WFC.HeII	
2600.0	0.0	1.122007118106201e-27	1.997141044023088e-14	1.1192327515436484e-09	4.097331729611994e-09	2.1394322647930987e-08	1.9870976093430994e-07	1.1316833872215191e-06	5.0124323555235285e-09	2.243583724778303e-08	2.1720773739469392e-07	8.162068675300876e-07	2.0766479705456327e-06	1.027866619260011e-09	3.40889242849566e-09	1.1230025796928394e-08	1.1418156853063429e-07	1.1246814043366538e-06	8.476741019968646e-06	1.2485777902170266e-05	1.072119624903818e-05	1.4091568454919067e-35	1.9058382039869434e-30	2.4334424341742243e-27	3.743948180260492e-20	1.4336017173622558e-16	2.7111742791316017e-12	3.035902134064891e-12	2.957909640850802e-07	2.3231676001385318e-08	4.319536925240149e-08	1.2151074515853454e-09	4.638037857324384e-09	1.9910707635632065e-09
2600.0	0.5	1.2241909116407525e-26	4.814372997741727e-14	2.16589835887558e-09	7.3416639276847e-09	3.342870012788503e-08	2.901585328371907e-07	1.5431152771602823e-06	8.722291377342605e-09	3.501847695836373e-08	3.1597247879812683e-07	1.1401900025328158e-06	2.7666479352346856e-06	1.9913772744308317e-09	6.398126415005539e-09	1.8150462050061204e-08	1.6729839741946975e-07	1.511769234231962e-06	9.905418228634797e-06	1.3800129594282439e-05	1.1225121002114388e-05	3.3036148313817227e-34	2.6615789942928146e-29	2.930513060872733e-26	2.741650839944231e-19	5.072666957811385e-16	6.176646935553097e-12	6.59871352839199e-12	4.272365441497364e-07	3.61271502922856e-08	6.50866570716918e-08	2.35074587151551e-09	8.056740619881439e-09	3.6740907150070385e-09
2600.0	1.0	9.276422395272213e-26	8.620456430947286e-14	3.1606240214102287e-09	1.1051775885267482e-08	4.905057447871051e-08	3.9454066903411947e-07	1.908125915099573e-06	1.3134797695923745e-08	5.1130082094691886e-08	4.280960414643627e-07	1.4475030087644576e-06	3.31808030426507e-06	2.914734682658703e-09	9.660408031533183e-09	2.7002281145276155e-08	2.2759320829121345e-07	1.8455573365590868e-06	1.0610737322762568e-05	1.3538603058329419e-05	1.0817545844308177e-05	7.590875689196063e-33	3.6655662042099503e-28	2.353795626786418e-25	9.34369541834021e-19	1.1055111901713975e-15	1.0609739254330259e-11	1.1473918655125224e-11	5.696476880611876e-07	5.263578529661727e-08	9.296706906692573e-08	3.4355999451038803e-09	1.2166662219280166e-08	5.830260387962781e-09
2600.0	1.5	6.304856239111416e-25	1.5998200610327966e-13	4.101338482376874e-09	1.6852852285811328e-08	7.257328609053611e-08	5.476272567703376e-07	2.376147629354144e-06	2.0178232538395484e-08	7.524704717126952e-08	5.920505213724244e-07	1.8590835147465454e-06	3.973663856011023e-06	3.807588155817319e-09	1.4344072974861342e-08	4.08875539752493e-08	3.1547708049612193e-07	2.2654390175735374e-06	1.1241451932825723e-05	1.3432835454361878e-05	1.0779694991279844e-05	1.236234741141746e-31	3.910798406788191e-27	1.627928857331253e-24	2.990525979930164e-18	2.5208703104449233e-15	1.9189867715529045e-11	2.0701101038272192e-11	7.746029133710021e-07	7.731520894144291e-08	1.340439988554549e-07	4.475490297234416e-09	1.8866715290252606e-08	9.548534336379369e-09
2600.0	2.0	3.2542779829231894e-24	3.3680127216145846e-13	4.928620503883346e-09	2.5915898082207577e-08	1.0186440962538555e-07	7.311966435773224e-07	2.8066167679761033e-06	3.110276510384887e-08	1.056583455513814e-07	7.858265919672928e-07	2.2806288784137923e-06	4.458682862562758e-06	4.618012710983297e-09	2.0637446289342535e-08	5.998170997446347e-08	4.214869974899296e-07	2.62679051317641e-06	1.0430950522686045e-05	1.1430444679950413e-05	1.0237628646446748e-05	7.324589154163633e-31	1.729459358075835e-26	1.0910012830136739e-23	1.5618995015172397e-17	8.652380089209391e-15	3.798718094751991e-11	3.93317393421641e-11	1.0140668877433693e-06	1.0815979014323915e-07	1.8348994070368864e-07	5.385320524480625e-09	2.9597716524394045e-08	1.627278455061873e-08
2600.0	2.5	2.6992116061443114e-23	4.750532633834689e-13	4.734637265983327e-09	3.280339145890997e-08	1.2351983215885927e-07	8.529406795803153e-07	3.052149075694222e-06	3.9363503864783275e-08	1.2856462223562344e-07	9.118978594958963e-07	2.527752810667481e-06	4.717132138057331e-06	4.480594597004953e-09	2.450408407103868e-08	7.367269759235268e-08	4.936470878891841e-07	2.838493421511541e-06	1.0228625264370791e-05	1.1124608655840127e-05	1.0225914902512124e-05	8.941599594264612e-30	1.3261408200157213e-25	9.908748689288069e-23	7.589145458531045e-17	1.9125886391812923e-14	4.989947923920352e-11	4.9375645994084924e-11	1.167724570045946e-06	1.3108232660558353e-07	2.1772852963532052e-07	5.184815068902403e-09	3.788437350389018e-08	2.2748544573130796e-08
2600.0	3.0	3.033915248793183e-23	3.6663819968535977e-13	4.021910319246333e-09	3.408682504558852e-08	1.2681629755171156e-07	9.128114381095673e-07	3.236298989579401e-06	4.1249620033798573e-08	1.3149936687785296e-07	9.768250861648757e-07	2.6956923571625757e-06	4.964673757317337e-06	3.842901199516052e-09	2.4694270738059418e-08	7.664615152827369e-08	5.237652093320636e-07	3.0018750104388094e-06	1.0409708118607797e-05	1.139695690194263e-05	1.0429699468635645e-05	9.918968600649379e-30	1.4756156659250667e-25	1.0822682946412949e-22	6.690250509366532e-17	1.6853072773861874e-14	4.484604523592299e-11	4.3215210871723004e-11	1.252839443479754e-06	1.3401423663099098e-07	2.2519610185626888e-07	4.4145725635338275e-09	3.9870335277752595e-08	2.5008464608222722e-08
2600.0	3.5	3.713370281877215e-23	1.3862935774656778e-13	2.491516340124985e-09	3.0724541018178566e-08	1.0748715307674127e-07	8.661167808359936e-07	3.192397251952235e-06	3.714942388177131e-08	1.1181550371775732e-07	9.28125635269046e-07	2.6542772889335967e-06	4.942534106881559e-06	2.4208564349415897e-09	2.090584800338571e-08	6.61753099438852e-08	4.914838487893681e-07	2.9601443981606073e-06	1.035705299021022e-05	1.143550965842571e-05	1.0372919378290666e-05	9.54267515530077e-30	1.374931100256807e-25	1.283222795069244e-22	5.2123879102081344e-17	8.6036110238111e-15	2.5082716439499603e-11	2.2329529691670293e-11	1.210472308774207e-06	1.1376363636197882e-07	1.961619165569118e-07	2.7449629485784505e-09	3.621132834380219e-08	2.477597652885438e-08
2600.0	4.0	4.164648330430464e-23	6.421643812991662e-14	1.587850807002259e-09	2.94707861325166e-08	1.0604447572490004e-07	9.147943161149461e-07	3.399839868310345e-06	3.622890990432829e-08	1.0978691814209892e-07	9.82049853923216e-07	2.8363528582451114e-06	5.248777470200627e-06	1.5736364179487268e-09	1.8939123851213112e-08	6.500395044631997e-08	5.136526957539895e-07	3.145998950307504e-06	1.081838411874278e-05	1.2050649527793077e-05	1.0685448194906283e-05	9.192738358501483e-30	1.365540423766747e-25	1.4416588009631965e-22	4.06381573976619e-17	5.222123858293981e-15	1.2047409149668848e-11	1.0461709866706772e-11	1.2886011829231747e-06	1.1157002494188042e-07	1.987590230056297e-07	1.7546629942979712e-09	3.546102334446392e-08	2.6240528733880706e-08
2600.0	4.5	2.2381341923011477e-23	2.2318452299475105e-14	7.205017566129107e-10	2.3443840268391713e-08	9.13270805667171e-08	8.7910990136656e-07	3.427547958299777e-06	2.9561162215561327e-08	9.413891835558454e-08	9.472785001576567e-07	2.85575624173969e-06	5.324689002291664e-06	7.348534897743684e-10	1.4088304506483246e-08	5.4087486270026006e-08	4.878546716138845e-07	3.1635713576068244e-06	1.1007610043684227e-05	1.2404781735819203e-05	1.0704260129215407e-05	2.660464577901439e-30	4.7649526928805765e-26	7.750113999878033e-23	1.814443415742286e-17	2.2953444790476504e-15	3.6084602226175e-12	3.170577868622802e-12	1.2639071548892184e-06	9.54830843031167e-08	1.8114372931125686e-07	8.010825490660915e-10	2.9012697923596738e-08	2.3210765382924246e-08
